Date,High,Low,Open,Close
06/01/2010,0.74,0.74,0.74,0.74
07/01/2010,0.74,0.74,0.74,0.74
08/01/2010,0.74,0.74,0.74,0.74
11/01/2010,0.74,0.74,0.74,0.74
12/01/2010,0.74,0.74,0.74,0.74
13/01/2010,0.74,0.74,0.74,0.74
14/01/2010,0.74,0.74,0.74,0.74
15/01/2010,0.74,0.74,0.74,0.74
18/01/2010,0.74,0.73,0.74,0.73
19/01/2010,0.74,0.73,0.73,0.73
20/01/2010,0.74,0.73,0.73,0.73
21/01/2010,0.74,0.73,0.73,0.73
22/01/2010,0.74,0.73,0.73,0.73
25/01/2010,0.74,0.73,0.73,0.73
26/01/2010,0.74,0.73,0.73,0.73
27/01/2010,0.74,0.73,0.73,0.73
28/01/2010,0.74,0.73,0.73,0.73
29/01/2010,0.74,0.73,0.73,0.73
01/02/2010,0.74,0.73,0.73,0.73
02/02/2010,0.74,0.73,0.73,0.73
03/02/2010,0.74,0.73,0.73,0.73
04/02/2010,0.74,0.73,0.73,0.73
05/02/2010,0.74,0.73,0.73,0.73
08/02/2010,0.74,0.73,0.73,0.73
09/02/2010,0.74,0.73,0.73,0.73
10/02/2010,0.76,0.73,0.73,0.76
11/02/2010,0.76,0.73,0.76,0.76
12/02/2010,0.76,0.73,0.76,0.76
15/02/2010,0.78,0.73,0.76,0.78
17/02/2010,0.79,0.73,0.79,0.79
16/02/2010,0.8,0.73,0.78,0.79
18/02/2010,0.8,0.73,0.79,0.8
19/02/2010,0.8,0.73,0.79,0.79
22/02/2010,0.8,0.73,0.79,0.8
23/02/2010,0.8,0.73,0.79,0.8
24/02/2010,0.8,0.73,0.79,0.8
25/02/2010,0.8,0.73,0.8,0.8
26/02/2010,0.8,0.73,0.8,0.8
01/03/2010,0.8,0.73,0.8,0.8
02/03/2010,0.84,0.73,0.84,0.84
03/03/2010,0.85,0.73,0.84,0.85
04/03/2010,0.85,0.73,0.84,0.85
05/03/2010,0.87,0.73,0.84,0.87
09/03/2010,0.9,0.73,0.87,0.9
10/03/2010,0.95,0.73,0.9,0.95
11/03/2010,0.95,0.73,0.95,0.95
12/03/2010,0.95,0.73,0.95,0.95
15/03/2010,0.97,0.73,0.95,0.97
16/03/2010,0.97,0.73,0.95,0.97
17/03/2010,0.97,0.73,0.97,0.97
18/03/2010,0.97,0.73,0.97,0.97
19/03/2010,0.97,0.73,0.97,0.96
22/03/2010,0.97,0.73,0.96,0.96
23/03/2010,0.97,0.73,0.93,0.92
24/03/2010,0.97,0.73,0.93,0.85
25/03/2010,0.97,0.73,0.93,0.88
26/03/2010,0.97,0.73,0.9,0.91
29/03/2010,0.97,0.73,0.91,0.92
30/03/2010,0.97,0.73,0.91,0.95
31/03/2010,0.97,0.73,0.96,0.95
01/04/2010,0.98,0.73,0.96,0.98
06/04/2010,0.98,0.73,0.96,0.98
07/04/2010,0.98,0.73,0.96,0.98
08/04/2010,0.98,0.73,0.98,0.97
12/04/2010,0.98,0.73,0.95,0.96
13/04/2010,0.98,0.73,0.95,0.96
14/04/2010,0.98,0.73,0.95,0.95
15/04/2010,0.98,0.73,0.95,0.96
16/04/2010,0.98,0.73,0.95,0.95
19/04/2010,0.98,0.73,0.95,0.95
20/04/2010,1,0.73,0.95,1
21/04/2010,1,0.73,0.95,1
22/04/2010,1.01,0.73,0.95,1.01
23/04/2010,1.03,0.73,0.95,1.03
26/04/2010,1.05,0.73,0.95,1.05
27/04/2010,1.07,0.73,1.05,1.07
28/04/2010,1.07,0.73,1.07,1.07
02/01/2009,1.1,1.1,1.1,1.1
05/01/2009,1.1,1.1,1.1,1.1
06/01/2009,1.1,1.1,1.1,1.1
07/01/2009,1.1,1.1,1.1,1.1
08/01/2009,1.1,1.1,1.1,1.1
09/01/2009,1.1,1.1,1.1,1.1
12/01/2009,1.1,1.09,1.1,1.09
13/01/2009,1.1,1.09,1.09,1.09
14/01/2009,1.1,1,1.09,1
15/01/2009,1.1,1,1,1
16/01/2009,1.1,1,1,1
19/01/2009,1.1,1,1,1
20/01/2009,1.1,1,1,1
21/01/2009,1.1,1,1,1
22/01/2009,1.1,1,1,1
23/01/2009,1.1,0.98,1,0.98
26/01/2009,1.1,0.98,0.98,0.98
27/01/2009,1.1,0.98,0.98,0.98
28/01/2009,1.1,0.98,0.98,0.98
29/01/2009,1.1,0.98,0.98,0.98
30/01/2009,1.1,0.98,0.98,0.98
02/02/2009,1.1,0.98,0.98,0.98
03/02/2009,1.1,0.98,0.98,0.98
04/02/2009,1.1,0.75,0.98,0.75
05/02/2009,1.1,0.75,0.75,0.75
06/02/2009,1.1,0.75,0.75,0.75
09/02/2009,1.1,0.75,0.75,0.75
10/02/2009,1.1,0.75,0.75,0.75
11/02/2009,1.1,0.62,0.75,0.62
12/02/2009,1.1,0.62,0.62,0.62
13/02/2009,1.1,0.62,0.62,0.62
16/02/2009,1.1,0.62,0.62,0.62
17/02/2009,1.1,0.62,0.62,0.62
18/02/2009,1.1,0.62,0.62,0.62
19/02/2009,1.1,0.62,0.62,0.62
20/02/2009,1.1,0.62,0.62,0.62
23/02/2009,1.1,0.62,0.62,0.62
24/02/2009,1.1,0.62,0.62,0.62
25/02/2009,1.1,0.62,0.62,0.62
26/02/2009,1.1,0.62,0.62,0.62
27/02/2009,1.1,0.62,0.62,0.62
02/03/2009,1.1,0.6,0.62,0.6
03/03/2009,1.1,0.6,0.6,0.6
04/03/2009,1.1,0.6,0.6,0.6
05/03/2009,1.1,0.58,0.6,0.58
09/03/2009,1.1,0.55,0.58,0.55
10/03/2009,1.1,0.55,0.55,0.55
11/03/2009,1.1,0.54,0.55,0.54
12/03/2009,1.1,0.51,0.54,0.51
13/03/2009,1.1,0.5,0.51,0.5
16/03/2009,1.1,0.48,0.5,0.48
17/03/2009,1.1,0.48,0.48,0.48
18/03/2009,1.1,0.48,0.48,0.48
19/03/2009,1.1,0.45,0.48,0.45
20/03/2009,1.1,0.45,0.45,0.45
23/03/2009,1.1,0.45,0.45,0.45
24/03/2009,1.1,0.45,0.45,0.45
25/03/2009,1.1,0.45,0.45,0.45
26/03/2009,1.1,0.45,0.45,0.45
27/03/2009,1.1,0.45,0.45,0.45
30/03/2009,1.1,0.45,0.45,0.45
31/03/2009,1.1,0.45,0.45,0.45
01/04/2009,1.1,0.45,0.45,0.45
02/04/2009,1.1,0.45,0.45,0.45
03/04/2009,1.1,0.45,0.45,0.45
23/04/2009,1.1,0.54,0.54,0.54
24/04/2009,1.1,0.54,0.54,0.55
27/04/2009,1.1,0.54,0.55,0.61
28/04/2009,1.1,0.54,0.61,0.62
29/04/2009,1.1,0.54,0.62,0.62
30/04/2009,1.1,0.54,0.62,0.6
04/05/2009,1.1,0.54,0.6,0.58
05/05/2009,1.1,0.54,0.6,0.58
06/05/2009,1.1,0.54,0.6,0.58
07/05/2009,1.1,0.54,0.6,0.58
08/05/2009,1.1,0.54,0.58,0.58
11/05/2009,1.1,0.54,0.58,0.57
12/05/2009,1.1,0.54,0.58,0.57
13/05/2009,1.1,0.54,0.58,0.57
14/05/2009,1.1,0.52,0.58,0.52
15/05/2009,1.1,0.52,0.58,0.52
18/05/2009,1.1,0.5,0.58,0.5
19/05/2009,1.1,0.5,0.58,0.5
20/05/2009,1.1,0.5,0.5,0.48
21/05/2009,1.1,0.5,0.5,0.48
22/05/2009,1.1,0.5,0.5,0.48
26/05/2009,1.1,0.5,0.5,0.48
27/05/2009,1.1,0.5,0.5,0.48
28/05/2009,1.1,0.5,0.5,0.48
29/05/2009,1.1,0.5,0.5,0.48
01/06/2009,1.1,0.48,0.48,0.5
02/06/2009,1.1,0.48,0.5,0.49
03/06/2009,1.1,0.48,0.5,0.49
04/06/2009,1.1,0.48,0.49,0.5
05/06/2009,1.1,0.48,0.49,0.5
08/06/2009,1.1,0.48,0.5,0.49
09/06/2009,1.1,0.48,0.49,0.5
10/06/2009,1.1,0.48,0.49,0.5
11/06/2009,1.1,0.48,0.49,0.5
12/06/2009,1.1,0.48,0.49,0.5
15/06/2009,1.1,0.48,0.49,0.5
16/06/2009,1.1,0.48,0.49,0.5
17/06/2009,1.1,0.48,0.49,0.5
18/06/2009,1.1,0.48,0.49,0.5
19/06/2009,1.1,0.48,0.49,0.5
22/06/2009,1.1,0.48,0.49,0.5
23/06/2009,1.1,0.48,0.49,0.5
24/06/2009,1.1,0.48,0.49,0.5
25/06/2009,1.1,0.48,0.49,0.5
26/06/2009,1.1,0.48,0.51,0.52
29/06/2009,1.1,0.48,0.52,0.53
30/06/2009,1.1,0.48,0.53,0.54
02/07/2009,1.1,0.48,0.54,0.55
03/07/2009,1.1,0.48,0.55,0.55
06/07/2009,1.1,0.48,0.55,0.55
