Date,High,Low,Open,Close
06/01/2010,0.17,0.17,0.17,0.17
07/01/2010,0.17,0.17,0.17,0.17
08/01/2010,0.17,0.17,0.17,0.17
11/01/2010,0.17,0.17,0.17,0.17
12/01/2010,0.17,0.17,0.17,0.17
13/01/2010,0.17,0.17,0.17,0.17
14/01/2010,0.18,0.17,0.17,0.18
16/03/2010,0.19,0.2,0.2,0.19
15/01/2010,0.2,0.17,0.18,0.2
18/01/2010,0.2,0.17,0.2,0.2
19/01/2010,0.2,0.17,0.2,0.2
20/01/2010,0.2,0.17,0.2,0.2
21/01/2010,0.2,0.17,0.2,0.2
22/01/2010,0.2,0.17,0.2,0.2
17/03/2010,0.2,0.19,0.2,0.2
18/03/2010,0.2,0.19,0.2,0.2
19/03/2010,0.2,0.19,0.2,0.2
22/03/2010,0.2,0.19,0.2,0.19
23/03/2010,0.2,0.19,0.19,0.19
24/03/2010,0.2,0.19,0.19,0.19
25/03/2010,0.2,0.19,0.19,0.19
26/03/2010,0.2,0.19,0.19,0.19
29/03/2010,0.2,0.19,0.19,0.19
30/03/2010,0.2,0.19,0.19,0.19
31/03/2010,0.2,0.19,0.19,0.19
01/04/2010,0.2,0.19,0.19,0.19
06/04/2010,0.2,0.19,0.19,0.19
07/04/2010,0.2,0.19,0.19,0.19
08/04/2010,0.2,0.19,0.19,0.19
12/04/2010,0.2,0.19,0.19,0.19
13/04/2010,0.2,0.19,0.19,0.19
14/04/2010,0.2,0.19,0.19,0.19
15/04/2010,0.2,0.19,0.19,0.19
16/04/2010,0.2,0.18,0.19,0.18
19/04/2010,0.2,0.18,0.19,0.2
20/04/2010,0.2,0.18,0.19,0.18
21/04/2010,0.2,0.18,0.19,0.18
22/04/2010,0.2,0.18,0.19,0.18
23/04/2010,0.2,0.18,0.19,0.19
26/04/2010,0.2,0.18,0.19,0.19
27/04/2010,0.2,0.18,0.19,0.19
28/04/2010,0.2,0.18,0.19,0.19
29/04/2010,0.2,0.18,0.19,0.2
30/04/2010,0.2,0.18,0.19,0.2
04/05/2010,0.2,0.18,0.19,0.2
05/05/2010,0.2,0.18,0.19,0.2
06/05/2010,0.2,0.18,0.19,0.2
07/05/2010,0.2,0.18,0.19,0.2
25/01/2010,0.21,0.17,0.2,0.21
26/01/2010,0.21,0.17,0.21,0.21
27/01/2010,0.21,0.17,0.21,0.21
28/01/2010,0.21,0.17,0.21,0.21
29/01/2010,0.21,0.17,0.21,0.21
01/02/2010,0.21,0.17,0.21,0.21
02/02/2010,0.21,0.17,0.21,0.21
03/02/2010,0.21,0.17,0.21,0.21
04/02/2010,0.21,0.17,0.21,0.21
05/02/2010,0.21,0.17,0.21,0.21
08/02/2010,0.21,0.17,0.21,0.21
09/02/2010,0.21,0.17,0.21,0.21
10/02/2010,0.21,0.17,0.21,0.21
11/02/2010,0.21,0.17,0.21,0.21
12/02/2010,0.21,0.17,0.21,0.21
15/02/2010,0.21,0.17,0.21,0.21
16/02/2010,0.21,0.17,0.21,0.21
17/02/2010,0.21,0.17,0.21,0.21
18/02/2010,0.21,0.17,0.21,0.21
19/02/2010,0.21,0.17,0.21,0.21
22/02/2010,0.21,0.17,0.21,0.21
23/02/2010,0.21,0.17,0.21,0.21
24/02/2010,0.21,0.17,0.21,0.21
25/02/2010,0.21,0.17,0.21,0.21
26/02/2010,0.21,0.02,0.21,0.21
01/03/2010,0.21,0.17,0.21,0.21
02/03/2010,0.21,0.02,0.21,0.21
03/03/2010,0.21,0.02,0.21,0.21
04/03/2010,0.21,0.2,0.21,0.2
05/03/2010,0.21,0.2,0.2,0.2
09/03/2010,0.21,0.2,0.2,0.2
10/03/2010,0.21,0.2,0.2,0.2
11/03/2010,0.21,0.2,0.2,0.2
12/03/2010,0.21,0.2,0.2,0.2
15/03/2010,0.21,0.2,0.2,0.2
10/05/2010,0.21,0.18,0.2,0.21
11/05/2010,0.23,0.18,0.21,0.23
12/05/2010,0.23,0.18,0.23,0.26
13/05/2010,0.27,0.18,0.26,0.27
14/05/2010,0.27,0.18,0.26,0.27
17/05/2010,0.27,0.18,0.26,0.27
18/05/2010,0.27,0.18,0.26,0.25
19/05/2010,0.27,0.18,0.25,0.26
20/05/2010,0.28,0.18,0.26,0.28
21/05/2010,0.28,0.18,0.26,0.28
24/05/2010,0.28,0.18,0.27,0.28
26/05/2010,0.28,0.18,0.27,0.28
04/01/2011,0.28,0.28,0.29,0.29
05/01/2011,0.28,0.28,0.29,0.29
06/01/2011,0.28,0.28,0.29,0.29
07/01/2011,0.28,0.28,0.29,0.29
10/01/2011,0.28,0.28,0.29,0.28
27/05/2010,0.29,0.18,0.28,0.29
28/05/2010,0.29,0.18,0.28,0.29
21/01/2011,0.29,0.28,0.29,0.3
11/01/2011,0.29,0.28,0.28,0.29
12/01/2011,0.29,0.28,0.28,0.29
13/01/2011,0.29,0.28,0.28,0.29
14/01/2011,0.29,0.28,0.28,0.29
17/01/2011,0.29,0.28,0.28,0.29
18/01/2011,0.29,0.28,0.28,0.28
19/01/2011,0.29,0.28,0.28,0.29
20/01/2011,0.29,0.28,0.29,0.29
24/01/2011,0.29,0.28,0.3,0.3
25/01/2011,0.29,0.28,0.3,0.3
26/01/2011,0.29,0.28,0.3,0.3
27/01/2011,0.29,0.28,0.3,0.3
31/05/2010,0.3,0.18,0.29,0.3
01/06/2010,0.31,0.18,0.3,0.31
02/01/2009,0.32,0.32,0.32,0.32
05/01/2009,0.32,0.32,0.32,0.32
06/01/2009,0.32,0.32,0.32,0.32
07/01/2009,0.32,0.32,0.32,0.32
08/01/2009,0.32,0.32,0.32,0.32
09/01/2009,0.32,0.32,0.32,0.32
12/01/2009,0.32,0.32,0.32,0.32
13/01/2009,0.32,0.32,0.32,0.32
14/01/2009,0.32,0.32,0.32,0.32
15/01/2009,0.32,0.3,0.32,0.3
16/01/2009,0.32,0.3,0.3,0.3
19/01/2009,0.32,0.3,0.3,0.3
20/01/2009,0.32,0.3,0.3,0.3
21/01/2009,0.32,0.3,0.3,0.3
22/01/2009,0.32,0.3,0.3,0.3
23/01/2009,0.32,0.3,0.3,0.3
26/01/2009,0.32,0.3,0.3,0.3
27/01/2009,0.32,0.3,0.3,0.3
28/01/2009,0.32,0.3,0.3,0.3
29/01/2009,0.32,0.3,0.3,0.3
30/01/2009,0.32,0.3,0.3,0.3
02/02/2009,0.32,0.3,0.3,0.3
03/02/2009,0.32,0.3,0.3,0.3
04/02/2009,0.32,0.3,0.3,0.3
05/02/2009,0.32,0.3,0.3,0.3
06/02/2009,0.32,0.3,0.3,0.3
09/02/2009,0.32,0.3,0.3,0.3
10/02/2009,0.32,0.3,0.3,0.3
11/02/2009,0.32,0.3,0.3,0.3
12/02/2009,0.32,0.3,0.3,0.3
13/02/2009,0.32,0.3,0.3,0.3
16/02/2009,0.32,0.3,0.3,0.3
17/02/2009,0.32,0.3,0.3,0.3
18/02/2009,0.32,0.3,0.3,0.3
19/02/2009,0.32,0.3,0.3,0.3
20/02/2009,0.32,0.3,0.3,0.3
23/02/2009,0.32,0.3,0.3,0.3
24/02/2009,0.32,0.3,0.3,0.3
25/02/2009,0.32,0.3,0.3,0.3
26/02/2009,0.32,0.3,0.3,0.3
27/02/2009,0.32,0.3,0.3,0.3
02/03/2009,0.32,0.3,0.3,0.3
03/03/2009,0.32,0.3,0.3,0.3
04/03/2009,0.32,0.3,0.3,0.3
05/03/2009,0.32,0.3,0.3,0.3
09/03/2009,0.32,0.3,0.3,0.3
10/03/2009,0.32,0.3,0.3,0.3
11/03/2009,0.32,0.3,0.3,0.3
12/03/2009,0.32,0.3,0.3,0.3
13/03/2009,0.32,0.3,0.3,0.3
16/03/2009,0.32,0.3,0.3,0.3
17/03/2009,0.32,0.3,0.3,0.3
18/03/2009,0.32,0.3,0.3,0.3
19/03/2009,0.32,0.3,0.3,0.3
20/03/2009,0.32,0.3,0.3,0.3
23/03/2009,0.32,0.3,0.3,0.3
24/03/2009,0.32,0.3,0.3,0.3
25/03/2009,0.32,0.3,0.3,0.3
26/03/2009,0.32,0.3,0.3,0.3
27/03/2009,0.32,0.3,0.3,0.3
30/03/2009,0.32,0.3,0.3,0.3
31/03/2009,0.32,0.3,0.3,0.3
01/04/2009,0.32,0.3,0.3,0.3
02/04/2009,0.32,0.3,0.3,0.3
03/04/2009,0.32,0.3,0.3,0.3
23/04/2009,0.32,0.3,0.3,0.3
24/04/2009,0.32,0.3,0.3,0.3
27/04/2009,0.32,0.29,0.3,0.29
28/04/2009,0.32,0.29,0.29,0.29
29/04/2009,0.32,0.29,0.29,0.29
30/04/2009,0.32,0.28,0.29,0.28
04/05/2009,0.32,0.28,0.28,0.28
05/05/2009,0.32,0.28,0.28,0.28
06/05/2009,0.32,0.28,0.28,0.28
07/05/2009,0.32,0.28,0.28,0.28
08/05/2009,0.32,0.28,0.28,0.28
11/05/2009,0.32,0.28,0.28,0.28
12/05/2009,0.32,0.28,0.28,0.28
13/05/2009,0.32,0.28,0.28,0.28
14/05/2009,0.32,0.28,0.28,0.28
15/05/2009,0.32,0.28,0.28,0.28
18/05/2009,0.32,0.28,0.28,0.28
19/05/2009,0.32,0.28,0.28,0.28
20/05/2009,0.32,0.28,0.28,0.28
21/05/2009,0.32,0.25,0.28,0.25
22/05/2009,0.32,0.25,0.28,0.25
26/05/2009,0.32,0.25,0.28,0.25
27/05/2009,0.32,0.25,0.28,0.25
28/05/2009,0.32,0.25,0.28,0.25
29/05/2009,0.32,0.25,0.28,0.25
01/06/2009,0.32,0.25,0.28,0.25
02/06/2009,0.32,0.25,0.28,0.25
03/06/2009,0.32,0.25,0.28,0.25
04/06/2009,0.32,0.25,0.28,0.25
05/06/2009,0.32,0.24,0.28,0.24
08/06/2009,0.32,0.24,0.28,0.24
09/06/2009,0.32,0.24,0.24,0.24
10/06/2009,0.32,0.24,0.28,0.24
11/06/2009,0.32,0.24,0.28,0.24
12/06/2009,0.32,0.24,0.28,0.24
15/06/2009,0.32,0.24,0.28,0.24
16/06/2009,0.32,0.24,0.28,0.24
17/06/2009,0.32,0.24,0.28,0.24
18/06/2009,0.32,0.24,0.28,0.24
19/06/2009,0.32,0.24,0.28,0.24
22/06/2009,0.32,0.22,0.24,0.22
23/06/2009,0.32,0.22,0.24,0.22
24/06/2009,0.32,0.22,0.24,0.22
25/06/2009,0.32,0.2,0.22,0.2
26/06/2009,0.32,0.19,0.2,0.19
29/06/2009,0.32,0.19,0.19,0.19
30/06/2009,0.32,0.19,0.19,0.19
02/07/2009,0.32,0.19,0.19,0.19
03/07/2009,0.32,0.19,0.19,0.19
06/07/2009,0.32,0.17,0.19,0.17
07/07/2009,0.32,0.17,0.17,0.17
08/07/2009,0.32,0.17,0.17,0.17
09/07/2009,0.32,0.17,0.17,0.17
10/07/2009,0.32,0.16,0.17,0.16
13/07/2009,0.32,0.16,0.16,0.16
14/07/2009,0.32,0.14,0.16,0.14
15/07/2009,0.32,0.14,0.14,0.14
16/07/2009,0.32,0.14,0.14,0.14
17/07/2009,0.32,0.14,0.14,0.14
20/07/2009,0.32,0.14,0.14,0.14
21/07/2009,0.32,0.14,0.14,0.14
22/07/2009,0.32,0.14,0.14,0.14
23/07/2009,0.32,0.14,0.14,0.16
24/07/2009,0.32,0.14,0.16,0.17
27/07/2009,0.32,0.14,0.17,0.18
28/07/2009,0.32,0.14,0.18,0.18
