Date,Open,Close,High,Low,
04/01/2010,3.4,3.4,4,3.4,
05/01/2010,3.4,3.4,4,3.4,
06/01/2010,3.4,3.4,3.4,3.4,
07/01/2010,3.4,3.4,3.4,3.4,
08/01/2010,3.4,3.4,3.4,3.4,
11/01/2010,3.4,3.4,3.4,3.4,
12/01/2010,3.4,3.4,3.4,3.4,
13/01/2010,3.4,3.4,3.4,3.4,
14/01/2010,3.4,3.4,3.4,3.4,
15/01/2010,3.4,3.4,3.4,3.4,
18/01/2010,3.4,3.4,3.4,3.4,
19/01/2010,3.4,3.4,3.4,3.4,
20/01/2010,3.4,3.4,3.4,3.4,
21/01/2010,3.4,3.4,3.4,3.4,
22/01/2010,3.4,3.4,3.4,3.4,
25/01/2010,3.4,3.4,3.4,3.4,
26/01/2010,3.4,3.4,3.4,3.4,
27/01/2010,3.4,3.4,3.4,3.4,
28/01/2010,3.4,3.4,3.4,3.4,
29/01/2010,3.4,3.4,3.4,3.4,
01/02/2010,3.4,3.4,3.4,3.4,
02/02/2010,3.39,3.39,3.4,3.39,
03/02/2010,3.39,3.39,3.4,3.4,
04/02/2010,3.39,3.39,3.4,3.4,
05/02/2010,3.39,3.39,3.4,3.4,
08/02/2010,3.39,3.39,3.4,3.4,
09/02/2010,3.39,3.39,3.4,3.4,
10/02/2010,3.39,3.39,3.4,3.4,
11/02/2010,3.39,3.39,3.4,3.4,
12/02/2010,3.39,3.39,3.4,3.4,
15/02/2010,3.39,3.39,3.4,3.4,
16/02/2010,3.39,3.39,3.4,3.4,
17/02/2010,3.39,3.39,3.4,3.4,
18/02/2010,3.39,3.39,3.4,3.4,
19/02/2010,3.39,3.39,3.4,3.4,
22/02/2010,3.39,3.39,3.4,3.4,
23/02/2010,3.39,3.39,3.4,3.4,
24/02/2010,3.39,3.39,3.4,3.4,
25/02/2010,3.39,3.39,3.4,3.4,
26/02/2010,3.39,3.39,3.4,3.4,
01/03/2010,3.39,3.39,3.4,3.4,
02/03/2010,3.39,3.39,3.4,3.4,
03/03/2010,3.39,3.39,3.4,3.4,
04/03/2010,3.39,3.39,3.4,3.4,
05/03/2010,3.39,3.39,3.4,3.4,
09/03/2010,3.39,3.39,3.4,3.4,
10/03/2010,3.39,3.39,3.4,3.4,
11/03/2010,3.39,3.39,3.4,3.4,
12/03/2010,3.39,3.39,3.4,3.4,
15/03/2010,3.39,3.39,3.4,3.4,
16/03/2010,3.39,3.39,3.4,3.4,
17/03/2010,3.39,3.39,3.4,3.4,
18/03/2010,3.39,3.39,3.4,3.4,
19/03/2010,3.39,3.39,3.4,3.4,
22/03/2010,3.39,3.39,3.4,3.4,
23/03/2010,3.39,3.39,3.4,3.4,
24/03/2010,3.39,3.39,3.4,3.4,
25/03/2010,3.39,3.39,3.4,3.4,
26/03/2010,3.39,3.39,3.4,3.4,
29/03/2010,3.39,3.39,3.4,3.4,
30/03/2010,3.39,3.39,3.4,3.4,
