Date,Open,Close,High,Low
04/01/2010,6.8,6.8,7.6,6.8
05/01/2010,6.8,6.8,7.6,6.8
06/01/2010,6.8,6.8,6.8,6.8
07/01/2010,6.8,6.8,6.8,6.8
08/01/2010,6.8,6.8,6.8,6.8
11/01/2010,6.8,6.8,6.8,6.8
12/01/2010,6.8,6.8,6.8,6.8
13/01/2010,6.8,6.8,6.8,6.8
14/01/2010,6.8,6.8,6.8,6.8
15/01/2010,6.8,6.8,6.8,6.8
18/01/2010,6.8,6.8,6.8,6.8
19/01/2010,6.8,6.8,6.8,6.8
20/01/2010,6.8,6.8,6.8,6.8
21/01/2010,6.8,6.8,6.8,6.8
22/01/2010,6.8,6.8,6.8,6.8
25/01/2010,6.8,6.8,6.8,6.8
26/01/2010,6.8,6.8,6.8,6.8
27/01/2010,6.8,6.8,6.8,6.8
28/01/2010,6.8,6.8,6.8,6.8
29/01/2010,6.8,6.8,6.8,6.8
01/02/2010,6.8,6.8,6.8,6.8
02/02/2010,6.8,6.8,6.8,6.8
03/02/2010,6.8,6.8,6.8,6.8
04/02/2010,6.8,6.8,6.8,6.8
05/02/2010,6.8,6.8,6.8,6.8
08/02/2010,6.8,6.8,6.8,6.8
09/02/2010,6.8,6.8,6.8,6.8
10/02/2010,6.8,6.8,6.8,6.8
11/02/2010,6.8,6.8,6.8,6.8
12/02/2010,6.8,6.8,6.8,6.8
15/02/2010,6.8,6.8,6.8,6.8
16/02/2010,6.8,6.8,6.8,6.8
17/02/2010,6.8,6.8,6.8,6.8
18/02/2010,6.8,6.8,6.8,6.8
19/02/2010,6.8,6.8,6.8,6.8
22/02/2010,6.8,6.8,6.8,6.8
23/02/2010,6.8,6.8,6.8,6.8
24/02/2010,6.8,6.8,6.8,6.8
25/02/2010,7,7,7,6.8
26/02/2010,7,7,7,6.8
01/03/2010,7,7,7,6.8
02/03/2010,7,7,7,6.8
03/03/2010,7,7,7,6.8
04/03/2010,7,7.01,7.01,6.8
05/03/2010,7,7.01,7.01,6.8
09/03/2010,7.01,7.01,7.01,6.8
10/03/2010,7.01,7.01,7.01,6.8
11/03/2010,7.01,7.01,7.01,6.8
12/03/2010,7.01,7.01,7.01,6.8
15/03/2010,7.01,7.01,7.01,6.8
16/03/2010,7.01,7.01,7.01,6.8
17/03/2010,7.1,7.1,7.1,6.8
18/03/2010,7.1,7.1,7.1,6.8
19/03/2010,7.1,7.1,7.1,6.8
22/03/2010,7.1,7.1,7.1,6.8
23/03/2010,7.1,7.1,7.1,6.8
24/03/2010,7.1,7.1,7.1,6.8
25/03/2010,7.1,7.1,7.1,6.8
26/03/2010,7.1,7.1,7.1,6.8
29/03/2010,7.12,7.13,7.13,6.8
30/03/2010,7.12,7.15,7.15,6.8
31/03/2010,7.16,7.16,7.16,6.8
